smiles;fitness;QED;SAS;Affinity
O=C(Nc1nc2c(cc(OC(F)(F)F)cc2)s1)Nn1ccc(-c2ccc3nc(N)sc3c2)n1;0.27092605594887814;0.3245413218790148;2.9913176411428015;-6.756
C1CCCCC1NS(=O)(=O)c1cc2c(cc1)NC(=O)C2(C)Cc1cc(F)ccc1n1ccc(-c2ccc3nc(N)sc3c2)n1;0.10285916980502743;0.20419421641127233;3.609553704195802;-4.728
C1CCCCC1NS(=O)(=O)c1cc2c(cc1)NC(=O)C2(c1c(cccc1)c1ccccc1)CCN1CCOCC1;0.2979926834491832;0.40897935061364676;3.187242175047685;-6.851
C1CCCCC1NS(=O)(=O)c1cc2c(cc1)NC(=O)C2(C)Cc1cc(F)Sccc1;0.3371960529475414;0.6721692901131957;3.8344826240195404;-6.485
C1CCCCC1NS(=O)P(=O)c1cc2c(cc1)NC(=O)C2(C)Cc1cc(F)ccc1;0.39356165756067685;0.6571293920906046;4.27917791213347;-7.369
CC1(CC2=CC(N)=CC=C2)C(=O)NC2=C1C=C(S(=O)(=O)NC1CCCCC1)N=C2;0.3391659318324984;0.6510558782010862;4.412789380808315;-6.594
C=S(=O)(BC1CCBCC1)C1=CC2=C(N=C1)NC(=O)C2(C)CC1=CC(F)=CC=C1;-0.12138966841167281;0.6095204295653536;5.989801855823497;0
C1CCCCC1NS(=NO)(=O)c1cc2c(cc1)NC(=O)C2(C)Cc1cc(F)ccc1;0.3060789410877664;0.6155609237532997;3.6942431908568185;-6.231
CC1(CC2=CC(F)=CN=C2)C(=O)NC2=C1C=C(S(=O)(=O)NC1CCCCC1)C=C2;0.31578962721968507;0.7814881546737954;4.349941350789552;-5.782
C1CCCCSC1NS(=O)(=O)c1cc2c(cc1)NC(=O)C2(C)Cc1cc(F)ccc1;0.33819896548595185;0.7192823568277699;3.6413329646124746;-6.329
CC1(SC2=CC(F)=CC=C2)C(=P)NC2=C1C=C(S(=O)(=O)NC1CCCPC1)C=C2;0.2621066218405381;0.6276168293889489;5.773548174054127;-5.558
