smiles;fitness;QED;SAS
O=C(NC1=C(F)C=C(P)C=P1)C1=CC(OP)=C(OI)C=C1;0.5457800115508579;0.559512050555082;5.7780833948715955
COC1=C(CN)C=CC(C(=O)NC2=C(I)P=C(F)C=P2)=C1;0.6845815800540449;0.7029349723825646;4.805989509026333
c1(F)cc(F)c(C(c2cc(OC)c(OC)cc2)=O)cc1;0.807925897521389;0.8055232644364287;1.7045040471396877
BOC1=C(OC)C=CC(C(=O)NC2=C(C)P=C(F)P=C2)=C1;0.8398500567774768;0.8765419211734101;4.903767227859225
c1(F)Ncc(F)c(NC(c2cc(OC)c(OC)cc2)=O)cc1;0.8267105832397592;0.8393265976343282;2.868335463113617
B=C(NC1=C(F)C=C(F)C=C1)C1=CC(OB)=C(OC)C=C1;0.811599333401505;0.8429624407350329;4.706686326002461
B=C(NC1=C(B)C=C(F)C=C1)C1=CC(OC)=C(SC)C=C1;0.6504484066810756;0.6642053780365306;4.733643355180179
c1(F)cc(CF)c(NC(c2cc(OC)c(OC)cc2)=O)cc1;0.9077646932211026;0.9184376656113569;1.8829205829118507
c1(F)cc(F)c(NC(c2cc(OCC)c(OC)cc2)=O)cc1;0.9090704903410549;0.9174164453733327;1.6604310494944485
COC1=C(CO)C=C(C(=O)NC2=C(F)C=C(F)C=N2)C=C1;0.875436342557205;0.9057031936136032;3.969653169503787
c1(F)cc(F)(NC(c2cc(OC)c(OC)cc2)=O)cc1;0.8443166112544219;0.862652817313184;3.2070924327443624
c1(F)cc(F)c(NC(c2cc(OC)c(OC)ccO2)=O)cc1;0.906021884614848;0.9289698370772951;3.005096875471752
BC1=C(NC(=O)C2=CC(CC)=C(OC)C=C2)N=CC(P)=C1;0.6519021507010818;0.6666281398193431;4.806317513632695
c1(F)cc(F)c(NC(c2cc(OC)c(O)cc2)=O)cc1;0.9001810428957844;0.9077969255750343;1.6836190121746544
c1(F)cc(F)c(NC(c2cSc(OC)c(OC)cc2)=O)cc1;0.8972309506966172;0.9195145160780558;3.033211377363303
c1(F)cc(F)c(NC(c2cc(OC)c(O)cc2)=O)cc1;0.9001810428957844;0.9077969255750343;1.6836190121746544
