CCCn1cnc2c1NC=NCC2O
C=CC(=O)Nc1cc(CNc2nc(Nc3cn(C)nc3)ncc2Cl)ccc1F
CCCCc1c(-c2ccc(-c3ccc(OCC(=O)O)cc3)cc2)c2c(cccc2)o1
COc1ccc(NS(=O)(=O)c2cc(-c3c(C)c(C)no3)ccc2C)c(OC)c1
CN(CC=CC=Cc1ccc(-c2ccccc2)cc1)Cc1ccc2OCCc2c1
CC(=O)c1ccc(-c2ccc(C(=O)NCC(c3ccc(F)cc3)N3CCOCC3)o2)cc1
CC(C)Cn1c(N)c(C(=O)COC(=O)CC23CC4CC(CC(C4)C2)C3)c(=O)n(C)c1=O
c1ccc(-c2csc3c2c(N2CC(COCCN4CCCC4)C2)ncn3)cc1
Oc1c(C=Nc2ccc(Cl)cc2)cnn1-c1cccc(Cl)n1
CC(=O)Nc1ncc(C=CC(=O)NCC2CCCN2c2c(C)c(COc3cccc4ccc(C)nc34)c(C)cc2)cc1
COc1nn2c(=O)n(Cc3cnc(C(F)(F)F)cc3)nc2c(-c2ccncc2)c1-c1ccc(Cl)cc1
CC(C)CN(Cc1ccc(N2CCC(O)CC2)cc1)S(=O)(=O)Cc1ccccc1
OCn1c2c(cc(Cl)cc2)c2c1ccc(Cl)c2
Cc1c2ccccc2cc(C(=O)NC2CCC3(O)C4Cc5c6c(c(O)cc5)OC2C63CCN4CC2CC2)n1
NCC(NC(=O)c1ccc(-c2cc(F)c(Cl)c(F)c2)[nH]1)c1ncc(CO)s1
O=C(CCCCCCNC(=S)NCc1cccnc1)N(OCCN1CCOCC1)C1CCCCC1
COCCN(Cc1cocc1)C(=O)c1cc(OCCCON=C(N)N)cc(C)c1
CCCCCCCCCCCC(=O)c1csc(C(O)C(N)CO)c1
Cc1nn(C)c2c1c(C(C)C)cc(NNC(=O)Nc1cc3nccn3c(Cl)c1)n2
CCNCc1cc2c(c(OC)c1)c1c(CCCN1)c(O)n2
COc1c(N2CCN(CCCNC(=O)c3cc4c(cc(Br)cc4)[nH]3)CC2)cccc1
CS(=O)(=O)c1ccc(C(=O)Nc2cc(-c3nc4c(cccc4)[nH]3)ccc2)cc1
Cc1ccccc1OCC(=O)OC1CCN(C)CC1
Cc1nnc(NCC2(c3ccccc3)CC2)c(C#N)c1C
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
CC1=NC(=O)NC(c2ccc([N+](=O)[O-])cc2)C1C(=O)Nc1ccc(C)cc1
COc1cc(-c2nnc(SCC(=O)N(C)C3C=S(O)(O)=CC3)o2)cc(OC)c1OC
O=C(NC1CN2CCC1CC2)c1cn2cccc(Br)c2c1
Cc1n[nH]c(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)c1
Cc1c[nH]c2c1c(N1CCC(N)(CNC(=O)c3cccc(F)c3)C1)ncn2
O=C(NC1CCCc2ccccc21)c1ccccn1
COCCn1c(=O)c(-c2ccc(F)cc2)nc2c1nc(Oc1cccc(Cl)c1)nc2
O=C(NC(=S)Nc1cccc(F)c1)c1ccccc1
O=C(COc1ccc(Cl)cc1Cl)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
Cc1c(C=Cc2cncc(-c3n[nH]nn3)c2)c(C)cc(-c2ccccn2)c1
O=C(NC(C(=O)N1CCCC1B(O)O)c1ccccc1)c1ccnc2ccccc12
O=C1c2c(cccc2)-c2c1cccc2C(=O)N1CCCCC1
COC(=O)c1cc(NC(=O)c2cc[n+]([O-])cc2)ccc1
Cc1c([N+](=O)[O-])c(C(=O)Nc2cc3c(cc2)OCO3)no1
COc1ccc(NC(=O)Nc2cc3c(cc2)C(=Cc2c(C)c(CCC(=O)O)c(C)[nH]2)C(=O)N3)cc1
CN1CCCC1COc1cc(-c2ccc(Cl)cc2)c(Cl)nc1
CC(C)(CNC(=O)c1nc(C#N)c2cc(Oc3ccc(F)cc3)ccc2c1O)C(=O)O
Fc1cc(F)c(CCN2CCC3(C=Cc4c(ccc(F)c4)O3)CC2)cc1
CN=C(N)NCCCC(NC(=O)C(CC(C)C)NC(=O)NNC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CC(O)CN1C(=O)C(Cc1ccc(O)cc1)NC(C)=O)C(C)O)C(=O)NC(Cc1c[nH]c2c1cccc2)C(N)=O
CNS(=O)(=O)N(C)C1CC(N2CCc3c2nc(N2CCOCC2)nc3-c2cnc(N)nc2)C1
Cc1ccc(C2Nc3c(cccc3)-n3c(-c4ccccc4C)c4c(=O)n(C)c(=O)n(C)c4c23)o1
COc1ccc(C(=O)NC(=Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCc2ccncc2)cc1
CC(=O)c1ccccc1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1
Cc1cc(OCC(=O)Nc2ccc(C(=O)OC3CCCCC3)cc2)cc(C)c1Cl
C=CCn1c(SCc2ccc(Cl)cc2)nc2c(ccc(C(=O)N3CCC(C(N)=O)CC3)c2)c1=O
Cc1csc2c1c(N1CCC(NCC(O)COc3cc(CO)c(O)cc3)CC1)ncn2
COc1ccc(Cc2c(C3CCCCC3)nc3c4c(cccc4)ccn23)c(C)c1
CCCCCC=CCCCOP(=O)(O)O
N=C(Sc1c(O)n(-c2ccc(F)cc2)c(O)c1)N1N=C(c2ccccc2)CC1c1ccccc1
O=C(Nc1nnc(COC2CCCC2)s1)c1ccc(OC2CCC(C(=O)O)CC2)cc1
O=C1CCc2c3c(cc(S(=O)(=O)Nc4ccc(F)cc4)c2)CCN13
