Cc1ccc(Nc2c3CCCc3nc3ccccc23)cc1
Cc1ncccc1-c1ccc(S(=O)(=O)C2CC(C(=O)NC3(C#N)CC3)N(C(=O)C3(c4ncc(I)cc4F)CC3)C2)c(Cl)c1
NC(=O)c1c2[nH]c3c(ccc(-c4ccc(N)nc4)c3)c2c(NC(C2CC2)C(F)(F)F)nc1
Cc1c(Br)c(C)cc(-n2c(O)c3CC=CCc3c2O)c1
CC(=O)c1ccc2Sc3c(cc(Cl)cc3)N(C(C)=O)c2c1
COc1cc(NC(=O)COc2ccc(Cl)cc2)ccc1-c1cc2c(cccc2)oc1=O
O=C(CN(C(=O)CCC(=O)Nc1nccs1)c1ccc(F)cc1)NCc1ccccc1
CN1OCC2CN(C(=O)C(C)(C)C)C(c3ccc(-n4ccnc4)cc3)CC21
COc1ccc(N)nc1-c1ccnc2c1cc(C1CCCNC1)[nH]2
O=C(Nc1ccccc1)Nc1ccc2c(O)c(C(=O)NCC(O)C(=O)O)ncc2c1
CSc1cccc(CNC(=O)C2CCC(=O)N(CCCN3CCCC3=O)C2)c1
O=C(Nc1cn(CC(=O)N2CCC(CO)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1c2ncccn2nc1
OC1CCN(c2ncnc3c2c(-c2ccccc2)c[nH]3)CC1
Cc1c(N2CCN(S(=O)(=O)c3cc4c(cc3)N(C(=O)C3CCC3)C(C)C4)CC2)cc(Cl)cc1
COc1ccc(CNc2nccc(-c3c(-c4ccccc4)nc(-c4ccccc4)[nH]3)n2)cc1
COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1
O=C(O)CCC(NC(=O)c1nc(-c2ccccc2)ccc1)C(=O)N1CCN(C(=O)OC2CCCCC2)CC1
C=C1C(=O)OC2CC(C)C3(O)C=C(C(C)=O)C4(OC3CC12)C(=O)OC1CC(C)C(C=CC(C)=O)=CCC14
CCOC(=O)c1c(NCCCN2CCOCC2)c2c(nc1)c(C)ccc2
CCOCCNC(=O)c1ccc(NC(=O)N2Cc3c(cccc3)C2)cc1
O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(Cl)c2)cn2ncnc12
O=C1NC2=C(CCc3c2cccc3)C(c2ccc(Br)cc2)N1
O=C(CN1C(=O)c2cccc3cccc1c23)NCC1CCCO1
CCOC(=O)c1ccc(OC(=O)P(=O)(OC)OC)cc1
CCOc1ccc(C=CCN(C)Cc2ccc3OCCc3c2)cc1
CC1(C)CCC(C)(C)c2c1ccc(-c1ccc(-c3ccc(C(=O)O)cc3)[nH]1)c2
COc1ccc2ncc(F)c(CCC34CCC(N(C)Cc5nc6c(cc5)OCC(=O)N6)(CC3)CO4)c2n1
CN(C)c1ccc(CNC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)oc(=O)n3C)cc1
Cc1ccc(Cl)cc1N1CCN(C(=O)c2ccccc2SCC(=O)N2CCCC2)CC1
CSc1ccc(C2c3c([nH]nc3-c3c(O)cccc3)C(=O)N2Cc2ccncc2)cc1
Cc1nc2c(C(=O)C=CC2=O)n1Cc1ccccc1
CCCCCCCCCCc1c(O)oc2c(cccc2)c1=O
CC1(C)CC(=O)c2c(C1)[nH]c(-c1ccccc1)c2-c1ccccc1
CC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1
S=C(NCCC(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1
COc1ccc(-c2nc3c(nc(NCc4ccc(F)c(Cl)c4)cc3)n(CCNC(C)=O)c2=O)cc1
COc1cc(C)c(-c2cn(-c3ccc(S(N)(=O)=O)cc3)nn2)cc1
CN1CCN(c2ncc(C(=O)NCc3cn(-c4ccccc4)c4c(ccc(Cl)c4)c3=O)s2)CC1
