COc1ccccc1CCNC(=O)c1ccc(Br)s1
O=C(Nc1c(C(=O)Nc2ccc(Cl)cc2)c2c(CCCC2)s1)c1cccs1
O=C(CS)Nc1n[nH]c(-c2ccccc2)c1
COc1c(C=Cc2nc(C#N)c(NC3CCCCC3)o2)cccc1
CC(C)c1c([N+](=O)[O-])c(C(=O)NCc2ccc(F)cc2)no1
Cc1nn(C)c(-c2c(S(=O)(=O)NC(=O)c3ccc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)cc3)cno2)c1
CCNC(=O)NCc1ccccc1C1(O)CCN(C(c2c(Cl)cccc2)c2ccccc2Cl)CC1
O=C(CN1CCc2c(cc3OCCCOc3c2)C1)Nc1cccc([N+](=O)[O-])c1
Cn1c(Oc2ccc(F)cc2)c(C=O)c2c1cccc2
COC(=O)CSc1nnc(CNC(=O)Cc2ccccc2)n1-c1c(OC)cccc1
Cc1cc(C(=O)O)c2[nH]c(-c3ccc(-c4ccc(OCc5ccncc5)cc4)cc3)nc2c1
CN(C)CCCn1nc(-c2cnc3[nH]cc(C(=O)NC(C)(C)CO)c3n2)c2c1ccc(OC(F)F)c2
OC(CN(Cc1cccc(OC(F)(F)C(F)F)c1)c1cc(OCc2ccc(OC(F)(F)F)cc2)ccc1)C(F)(F)F
CCN1CCC(c2ccccc2)=C(C(=O)OCCc2cc3c(cc2)OCO3)C1
Cc1c(OCC(=O)O)ccc(OCc2nc(-c3ccc(-c4ccccc4)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)c1
CCCN=C(N)c1ccc(N2CCN(c3ccc(C(N)=NCCC)cc3)CC2)cc1
CCOC(=O)C1=NN(c2ccc(C)cc2)C2(S1)SC(C(C)=O)=C(C)N2c1ccccc1
O=C(NC1C(SC2CCCCC2)OC(CO)C(O)C1O)c1ccc(-c2ccc(Cl)cc2)o1
NC1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(Cc1ccccc1)C21COC1
Cc1noc2c1c(N1CCCC(C(=O)Nc3cc(C(F)(F)F)ccc3)C1)ncn2
O=S(=O)(c1ccc(Cl)cc1)N(Cc1ccc(-c2cc(Cl)ccc2)cc1)Cc1ccccn1
O=C(NCCC1=CCCCC1)c1ccc2c(c1)ncn2-c1cc(Cl)ccc1
O=C(O)Cn1c(=O)c2c(sc3c2CCCC3)n(Cc2ccccc2)c1=O
Cn1c(=O)c(C(=O)NCc2ccc(F)cc2)c(O)c2c1cc(Cc1ccc(F)cc1)cn2
Cc1cc(NC(O)c2c(-c3ccccc3)oc(O)c2)no1
CC(COC(=O)NCCn1ccnc1)N(c1c(CO)ccc(Cl)c1)S(=O)(=O)c1ccc(Cl)cc1
COc1ccc(C2CC(=O)Nc3c2c(-c2ccccc2)n[nH]3)cc1OC
Cc1c(O)c(C)cc(-c2cc(C)c(O)c(C)c2)c1
COc1ccc(C(=O)OCC(=O)c2ccc(Br)s2)c(OC)c1
CCCCNc1c2ccc(Cl)cc2ncc1CN
O=[N+]([O-])c1cnc(NN=CCCc2ccccc2)cc1
