Cn1ccc(-c2ccc3nc(N)sc3c2)n1
Fc1cccc2c1nc(OCC1CCN(CCCc3ccc(I)cc3)CC1)c1c2nccc1
CC(=NNC(=O)CNC(=O)c1cccc(F)c1)c1cc2c(cc1)CCCC2
O=C(CSc1nc2c(cccc2)nc1)c1ccc(F)cc1
O=C(O)CCC(=O)OCC1(COC2(c3ccc(Cl)cc3)c3c(Cl)cccc3C(=O)N2Cc2ccc([N+](=O)[O-])cc2)CC1
CCC1Oc2c(cc(C)cc2)N(CC(=O)NCC2CCCO2)C1=O
CC1(Cc2cccc(F)c2)C(=O)Nc2ccc(S(=O)(=O)NC3CCCCC3)cc21
CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2c1OCCC2C(F)(F)F
O=C(O)CCCCn1c2c(cccc2)c2c1cccc2
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CCCCCCCCC(=O)OCC3OC(n4cc(C)c(=O)[nH]c4=O)CC3N=[N+]=[N-])O2)c(=O)[nH]c1=O
COc1ccc(N=C2C(=O)N(C)C(=O)C2c2ccccc2)cc1
CCn1c(=O)cc(OCC(=O)N2CCCC2)c2c1cccc2
C=CCNC(=NC#N)SCC(=O)c1cc(OC)ccc1
CC(C)(C)SCCNS(=O)(=O)c1ccc2ccccc2c1
CNc1cc(-c2c(C(F)(F)F)cccc2)ncn1
CN1C(=O)C(C)(C)c2c1nc(Nc1cccc(N3CCNCC3)c1)nc2
Oc1cc(-c2ccc3[nH]ncc3c2)nc2nc(-c3ccc(F)cc3)nn12
O=C(Nc1ccc2c(c1)c1c(cccc1)n2CCO)c1c(C(F)(F)F)cccc1
Cc1cscc1-c1ccc(C(=O)Nc2c(C)cccc2C)o1
CC(C)(O)c1c(CCC(SCC2(CC(=O)O)CC2)c2cccc(C=Cc3nc(-c4ccccc4)cs3)c2)cccc1
O=C(NCCN1CCNCC1)C(=O)NCc1ccco1
CCc1ccc(NCc2nc(-c3ccccc3)no2)cc1
N#Cc1ccc(S(=O)(=O)N2CCCCC2c2cc(C(=O)N3CCOCC3)no2)cc1
CC(C(=O)Nc1cc2nn(C)c(O)c2cc1)n1ccc(-c2cc(Cl)ccc2C#N)cc1=O
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(-c3cn4cccnc4n3)ccc2)cc1
COc1c(O)ccc(CNc2nc3c(cc(C)cc3C)s2)c1
O=C(c1nn(Cc2cccc3c2cccc3)c(-c2ccc(O)cc2)c1)N1CCC(Cc2ccccc2)CC1
N#Cc1cc(-c2nc3c(cc(CN4CCCC(F)(F)C4)s3)c(N)n2)ccc1
O=C(O)c1c2cc(F)ccc2nc(O)c1O
COc1c(NC(=S)NC(=O)C=Cc2ccco2)cccc1
Cn1c(=O)c(-c2ccc(F)c(F)c2)nc2c1ncnc2
O=S(=O)(Nc1cscn1)c1c(F)cc(Oc2ccc(C(F)(F)F)cc2-c2ccnn2C2CNC2)c(F)c1
O=C(NCCCN1CCN(Cc2ccccc2)CC1)C1CCN(S(=O)(=O)N2CCC3(CC2)OCCO3)CC1
CN(C)CCCN1C(=O)N=C(SCC(=O)Nc2ccc3OCCOc3c2)C2CCCC=C21
COc1ccc(N2CC=NC(=NCc3cccs3)C2=O)cc1OC
Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2c1cccn2
CC1CN(C(C)CO)C(=O)c2c(-c3c(cccc3)COC1CN(C)S(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1c(cccc1)n2C
CCN(c1cc(-c2nccs2)cc(C(=O)NCc2c(O)nc(C)cc2C)c1C)C1CCC(N(C)C)CC1
COc1c(N2CCN(CCCCCCCn3ncc(Cl)c(N4CCN(CC5COc6c(cccc6)O5)CC4)c3=O)CC2)cccc1
CC1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2c1cccc2
O=C(CCCCC1CCSS1)NCCCCCCN=c1c2ccc(Cl)cc2nc2CCCn21
CCCS(=O)(=O)NCCOc1nc(C2CC2)nc(NS(=O)(=O)c2ncc(C(C)C)cc2)c1Oc1c(OC)cccc1
CC1CCCCN1S(=O)(=O)c1ccc2c(c1)CCN2C(=O)C1CC1
Cc1cc(-c2ccccc2)nc2nc(C(=O)Nc3ccccc3)nn12
CCCC=C(CCC)C(NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1
COc1ccc(NC(=O)N(C)CC2Oc3c(cc(NC(=O)Nc4ccc5OCOc5c4)cc3)C(=O)N(C(C)CO)CC2C)cc1
CCCSc1nnc(N2C(=O)CC(c3cscc3)C3C(=O)CCC=C32)s1
O=C(NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCC1
CS(=O)(=O)Nc1c(O)ccc(C(O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccc(F)cc3-c3cc(Cl)c(O)cc3)CC2)c1
C=CCn1c(=O)c2c(cc(C(=O)NCc3ccccc3)cc2)n(Cc2ccc(Cl)cc2)c1=O
COCCNC(O)c1cc(-c2ccc(C(F)(F)F)cc2)no1
NCC1CCC(CNc2c([N+](=O)[O-])cnc(Nc3cc(Cl)cc(Cl)c3)n2)CC1
CCCCCCC(O)C(CC(C)C)NC(=O)C(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(C)C
COc1ccc2ccc3c(CC(CNC(C)=O)CO3)c2c1
O=C(CN1C(=O)c2c(cccc2)S1(=O)=O)NCc1c(Cl)cccc1
CCc1ncnc(N2CCCC2)c1C#Cc1ccc(N)nc1
COc1cc(C(=O)NCCNc2c(C#N)cc3ccc(C)cc3n2)cc(OC)c1OC
Nc1cc(S(=O)(=O)c2ccc(N)c(N)c2)ccc1
Cc1ccc2nc(C)c(C(=O)NN=Cc3cc([N+](=O)[O-])ccc3)cc2c1
COc1c(C=NN=C(N)N[N+](=O)[O-])cccc1
CC1=NC(=S)C(C#N)C2(CCCCC2)C1C(=O)Nc1ccccc1
CCNC(=O)C(NC(=O)Cc1ccc(O)cc1)C1NC(C(=O)NCCNC(=O)C2NC(C(NC(=O)Cc3ccc(O)cc3)C(=O)NCC)SC2(C)C)C(C)(C)S1
Cc1ccc(C)c(NC(=O)CCC(=O)NNC(=S)Nc2ccccc2)c1
CN(C)C(=O)C1C(CO)C2Cn3c(ccc(-c4ccc(F)cc4)c3=O)C1N2CCc1ccccc1
O=C(O)CCNC(=O)c1ccco1
CCC(=O)Nc1cc(CCC(=O)O)c(CC(N)C(=O)O)cc1
O=C(COc1ccc(Cl)cc1)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1
CN(C)C(=O)C(=O)c1nn(C)c2c1cc(C(=O)N1CCC(Cc3ccc(F)cc3)CC1)c(Cl)c2
O=C1c2c(cccc2)C(=O)c2c1cccc2OCCCCOc1ccccc1
CCCC(=O)C1=C(Nc2cccc3c2cccc3)CC(C)(C)C(C(=O)OC)C1=O
COC(=O)C(CC(C)C)N(CCCc1cn(CC2CCCCC2)nn1)S(=O)(=O)c1ccccc1Br
O=C(COc1c(Cl)cc(F)cc1)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCCC1
COC(=O)C1=C(C)NC(=O)NC1c1ccc(-c2c(Cl)cccc2)o1
Cc1c(C)cc(C(=O)Oc2coc(CSc3nnc(NC(=O)c4cccs4)s3)cc2=O)cc1
CCOc1ccc(CCNC(=O)Cn2ccc3cc(S(=O)(=O)N4CCCCCC4)ccc32)cc1
CCCOC(=O)C1C(C)=NC2=CC(c3ccccc3)CC(=O)C2C1c1cnccc1
COc1c(S(=O)(=O)N2CCCC2)cc(-c2cc3c(cc2)ncnc3-c2cc(C(=O)N3CCN(C(C)=O)CC3)ccc2)cc1
COC(=O)CCCN(Cc1ccc(Cl)cc1)C(=O)C1(C)CCN1C(=O)Cc1cc(C)cc(C)c1
Cc1ccc(-c2nc(SCC(=O)c3cccc([N+](=O)[O-])c3)nc(C(F)(F)F)c2)cc1
O=C(Nc1nc2c(cc(OC(F)(F)F)cc2)s1)N(CCC(c1ccccc1)c1ccccc1)CCN1CCOCC1
COC(=O)c1cn(NC(=O)c2ccccc2[N+](=O)[O-])c(=O)c2c1cccc2
Cn1c(C2CCC3(CC2)OC(=O)c2c3cccc2)nc2c1cc(Cl)c(Cl)c2
NC(CC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4c3cccc4)n2)CC1)Cc1ccccc1
CC(C)n1nnnc1SCC(=O)Nc1cc2c(cc1)OCO2
Oc1ccc(C2CN3CCCC3c3cc(OCCCN4CCCCC4)ccc32)cc1
Cc1c(C#N)c2nc3c(cccc3)n2c(-n2ccnc2)c1Cc1ccccc1
O=C(NCc1ccccc1)C1(CCS(=O)(=O)c2ccccc2)N=C(c2ccc(OCCCO)cc2)OC1c1ccccc1
CN(C)c1ccc(C=NCCC2(O)CCOC(C)(C)C2)cc1
Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)c3c(Cl)cnc(SC(C)C)n3)cc2)n1
CN(Cc1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1)C(=O)C1CNC1
CC(C)(C)OC(=O)C1CCCN1CC(=O)c1ccc2[nH]c3c(c4c(C(=O)NC4=O)c4c3CCC4)c2c1
CN(C)S(=O)(=O)c1c(CNC(=O)c2c(O)c(=O)n(C)c(C3CCOC3)n2)ccc(F)c1
O=C(CCCCc1ccc2Cc3c(C(=O)c2c1O)c(O)ccc3)NO
CC1CC2C(=O)N(c3ccccc3)C(=O)N=C2O1
Cc1ccc(C(C)C)c(OCCNC(=O)CCC2CCCC2)c1
COc1c(Nc2nc3c(S(=O)(=O)c4c(C)ccc(C)c4)nnn3c3c2scc3)cc(C)cc1
O=C(COC(=O)C=Cc1ccccc1Cl)NCCc1ccc(Cl)cc1Cl
O=C1CCCC2=NC(Nc3nc4c(cc5ccccc5c4)o3)=NC3(CCCC3)C12
COc1c(OC)cc(CNc2ccc(C(F)(F)F)c(OC3CCN(C)C3)c2)c(Br)c1
O=C(O)c1cc(CSc2nnc(Cc3ccccc3)o2)ccc1
Cc1cc(-c2cc(-c3cc(C(N)=O)cc(C(=O)O)c3)ccc2)ccc1
COc1ccc(C2CCCN2C(=S)Nc2cc(Cl)c(C)cc2)cc1OC
CC1CC(=O)CC2CCC3C4CCC(O)C4(C)CCC3C12C
Cc1ncc(-c2nn(-c3ccc(Nc4cc(-c5nn(C)cc5)c(F)cn4)cc3)cn2)cc1
O=C(c1cccnc1)N1CCc2c(cnc(Nc3cc(F)ccc3)n2)C1
Cc1ccc(-n2nc(C3CCCN(Cc4ccc(F)cn4)C3)cc2NC(=O)c2c3ncccn3nc2)cc1
CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1nncs1
COC(=O)Nc1nc2c(ccc(C3(O)c4ccccc4C(=O)N3c3c(F)c(Cl)ccc3)c2)[nH]1
CCC(CO)Nc1c2cnn(-c3ccc(OC)cc3)c2ncn1
CCOc1ccc(-c2nc(CN3CCCCC3CCn3cccn3)c(C)o2)cc1
CC(=O)NC1CC1c1cccc2c1cccc2
CC(C)C(CC(O)C(N)CN1CC(=O)N(c2c(F)cccc2)CC1(C)C)C(=O)NCC(C)(C)C(N)=O
COc1c(N2CCCN(CCO)CC2)cc2c(Nc3c(F)cc(C)cc3)c(C(N)=O)nnc2c1
Cc1c[n+](-c2c(C=NNC(=O)c3cnccc3)sc(O)n2)ccc1
Cn1cc(-c2ccncc2)c(-c2ccc(F)cc2)c1-c1nnco1
CCOC(=O)c1c(NC(=O)CNC)c2c(ccc(Br)c2)[nH]1
CCCCCCCCCCCCCCCCCCCCC1(C(=O)OCC)CCCC1OP(=O)(O)OCC[N+](C)(C)C
O=C(CC1C(=O)NCCN1Cc1c(Cl)cc(F)cc1)NCc1nocc1
CS(=O)(=O)CC(NC(=O)c1cscc1)c1cn(C2(C#N)CC2)nn1
COC(=O)CC(NC(=O)Nc1ccc(N(C)Cc2nc3c(nc2)nc(N)nc3N)cc1)C(=O)OC
O=C1NC(=O)C(c2ccccc2-c2ccc(CCC3N=CC(CC4CCCC4)=N3)cc2)S1
CC(=O)N1c2c(cc(S(=O)(=O)N3CCC(C(=O)Nc4ccc(F)cc4)CC3)cc2)CC1C
COc1cc([N+](=O)[O-])cc(C=NNC(=O)Cn2cncn2)c1O
C=CCSc1nc(-c2ccc(OCCCC)cc2)n[nH]1
Cc1cc(C)c(NC(=O)CSCc2c(-n3cccc3)n(-c3ccccc3)nc2)cc1
CCOc1ccccc1NC(=O)CSc1ccccn1
CC(C)(C)c1nnc(NC(=O)c2ccc3cc4C(=O)NCCCn4c3c2)s1
CCCCCCCCCCCCN(C)C(=O)Cn1cc(Cc2cncnc2)c(=O)nc1SCc1ccc(F)cc1
COc1ccc(-c2nc(NN=Cc3ccc(O)c(O)c3)nnc2)cc1
CC1=CCc2c(O)n(-c3ccc(C)cc3)c(O)c2C1
COc1ccc(NC(=S)NN=Cc2c(C(=O)O)c(O)c3c(c2)CCc2c-3c(O)c3C(=O)c4c(C(=O)c3c2OC)c(O)c(C)c(O)c4)cc1
O=C(NC(=S)Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccccc1
O=C(Oc1ccc(C2SCCS2)cc1)C1CCCCC1
c1ccc(-c2nc(-c3cnccc3)cs2)cc1
COc1c(OC)cc2c(c1)CCN(S(N)(=O)=O)C2c1ccc(Cl)cc1
CC(=NNC(=O)c1ccc(Br)s1)c1ccncc1
O=C(C(=O)c1ccccc1F)c1ccccc1F
CC(=Cc1c(F)cccc1)C1Nc2cccc3cccc(c23)N1
O=C(Nc1c(-c2ccccc2)ccs1)OC12CCN(CC1)CC2
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCC(F)(F)CC5)c(Cl)c4)c(Oc4cccc5c4nc[nH]5)c3)CC2)=C(c2ccc(Cl)cc2)C1
COc1cc(N2CCOCC2)ccc1Nc1nc(Nc2cccc(C)n2)c2c(n1)NCC2(C)C
O=C(O)c1c(O)ccc(NS(=O)(=O)c2cccc3cccnc23)c1
Cc1c(C(=O)NN=Cc2cc(O)c([N+](=O)[O-])cc2)c(-c2ccccc2)no1
Cc1c(-c2nnc(SC3=CS(=O)(=O)c4ccccc34)o2)cco1
Cc1ccc2[nH]c(SC(Cc3cc(Cl)ccc3Cl)C(=O)O)nc2c1
COc1c2C=CC(C)(C)Oc2ccc1C(=O)Cc1cc(O)ccc1
CNc1nc(-n2cncn2)nc(NC(C#N)(C2CC2)C2CC2)n1
Oc1ccccc1-c1nc2c(ccnc2NCc2ccccc2)[nH]1
O=C(O)CC(c1ccc(OCc2ccc(C(=O)N3CCN(c4ccc(F)cc4)CC3)s2)cc1)C1CC1
Cc1ccc(NC(=O)Nc2nc(-c3cc4c(cccc4)o3)cs2)cc1
CCOC(=O)C1(C(=O)OCC)CC1c1ccccc1
NC(=O)c1ccccc1NC(=O)CC1(CC(=O)O)CCCC1
Cc1nn(C(=CN(C)C)C(=O)c2ccccc2)c(C)c1
COCC1CNC(C)CN1CC(=O)N1CC(C)(C)c2ccc(S(=O)(=O)CC(C)C)cc21
CCOc1c(NC(=O)COC(=O)C2CCCN2S(=O)(=O)c2c(F)cccc2)cc(OCC)c(N2CCOCC2)c1
CCc1c(-c2ncc(-c3ccc(Oc4ccccc4)cc3)s2)sc(CN2CC(C(=O)O)C2)c1
Cc1nc(O)c2c(Sc3cc(C(F)(F)F)ncc3)c(C)ccc2n1
c1nc(NC2CCOCC2)c2cc(-c3cncs3)ccc2n1
COc1ccc(CNC(=S)Nc2c(C)c(C)ccc2)cc1
O=C(O)c1ccccc1Cc1ccc(F)c2c1cccc2
COc1ccccc1C1Nc2c(C)cc(C)cc2-c2cc(C)nn21
COc1c(OC)c(OC)cc(C(=O)NC2(C(F)(F)F)C(=O)NC(C)=C2C#N)c1
O=C(NC1CCCc2ccccc21)C1CCN(c2nnc(-n3cccc3)s2)CC1
O=C(COc1ccc(I)cc1)Nc1ccc(O)cc1C(=O)O
Nc1nc2c(cc(S(=O)(=O)c3cc4c(cc3)nc(N)s4)cc2)s1
CC1CN(c2ncccc2F)C(=O)c2cc(COc3ccc(Cl)cn3)nn21
COc1cc(C2NC(=S)N=C(C)C2C(C)=O)ccc1
C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccc(O)cc2)C1
c1c[nH]c(CNCCCCCCNCCSSCCNCCCCCCNCc2ccc[nH]2)c1
Cn1nc(C(=O)OCC(=O)NC2CCS(=O)(=O)C2)c2c(cccc2)c1=O
COc1cc(Nc2nc(N)c(C(F)(F)F)cn2)cc(OC)c1OC
Cc1c(-c2ccccc2)n(-c2ccccc2)cn1
O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1)c1ccco1
COc1c(C(=O)N(C)CC(=O)Nc2c(Cl)cccc2Cl)cc(S(=O)(=O)N2CCCCCC2)cc1
Cc1csc(N(C)C(=O)CSc2nnc(COc3ccccc3C)o2)n1
COc1c(C(C)(C)C)cc(-c2c(O)nccc2)cc1CCN1CCC(NS(C)(=O)=O)CC1
CCCCN1CC(C)(C)C(CC(=O)NC)C1=O
O=C(C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1)N1CCc2c(cccc2)C1
O=C(OCC#CCSc1nnc(-c2ccncc2)o1)c1c(Cl)c2c(cccc2)s1
COc1ccc(N(Cc2cc(O)nc3c2cccc3)C(C)=O)cc1
