COc1ccc(Br)cc1CNC(=O)C1CCC(=O)N1C(C)C
Cc1ccc2oc3c(O)n(CCCN4CCOCC4)c(-c4ccc(F)cc4)c3c(=O)c2c1
COC1CN(C)C(=O)c2c(ccc(NC(=O)Nc3ccccc3)c2)OCC(C)N(C(C)=O)CC1C
COc1ccccc1NC(=O)Nc1ccc(Cc2ccncc2)cc1
CCOc1ccc(C2C3C(=O)CCC=C3N=C(C)C2C(=O)OC(C)C)cc1
Cc1nc(S(C)(=O)=O)ccc1C1CCC(OCC2CCN(c3ncc(C(F)(F)F)cn3)CC2)CC1
O=C(COc1ccc([N+](=O)[O-])cc1)NC1CCOC1=O
COc1ncc(-c2ccc(C3CC4(C)C(CC(C)C4C(=O)C4CC4)C4CC=C5CC(=O)CCC5=C34)cc2)cc1
Cc1ccc(S(=O)(=O)c2c(SC(C)c3ccccc3)oc(-c3ccco3)n2)cc1
On1c(-c2ccccc2)nc2c1cccc2
CCCOc1c(C(=O)NCCCC(=O)O)cccc1
O=C(C(=O)c1ccc(F)cc1F)c1ccc(F)cc1F
O=C(NCC1CCOCC1)c1ccc(NC(=O)N2Cc3c(cccc3)C2)cc1
Cc1ccc(-n2nc(C)c(C3C(C#N)=C(N)N(c4cnccc4)C4=C3C(=O)CCC4)c2Cl)cc1
CC1=C(C(=O)Nc2nc3c(cccc3)s2)C(c2ccco2)C(C#N)=C(SCC(=O)NC2CCCCC2)N1
O=C(NCc1ccco1)c1nn2c(C(F)(F)F)cc(-c3cccs3)nc2c1
CCn1ccc(C(=O)Nc2ncc(C)s2)n1
CC(C)C(S)C(=O)NC1(C(=O)NC(CCc2ccccc2)C(=O)O)CCCC1
Cc1c(NC(=O)c2ccc(OCc3ncccc3)cc2)cc(-c2c(C)nc[nH]2)cc1
COc1ccc(Oc2ncc3nc(-c4ccc(OC)cc4)c(=O)n(Cc4cccs4)c3n2)cc1
CC(=O)Nc1c(OCC(N)CN2CCC3(CC2)Cc2c(ccc(Cl)c2)O3)cc(O)cc1
O=C(CSc1nnc(-c2nccnc2)n1Cc1ccco1)c1ccc(Cl)c(Cl)c1
CCc1nc2n[nH]cc2c(NCc2ccc(-c3ccccc3-c3n[nH]nn3)cc2)n1
Cc1cc(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccccc3)n2)no1
COC(=O)c1ccc(-c2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1
CC(C)N(C(=O)COc1ccc(-c2c(C(F)(F)F)cc(C(=O)O)cc2)cc1)C(C)C
Oc1ccc(C=NNC(=S)N2CCOCC2)cc1
COC(=O)CC=CC(C)C(C=NOCC(O)COCc1ccco1)NS(=O)(=O)c1ccc(C)cc1
CCc1c2C(=O)CC(C)(C)Cc2nc(SCCC(=O)Nc2cccc(OC)c2)c1C#N
CC=CC1=CSC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
O=C1CSCC(=O)N1Cc1c(Cl)cc(Cl)cc1
CC1=C(C(=O)N2CCN(c3c(C)c(C)ccc3)CC2)C2(CCCCC2)OC1=O
CN(CC1C(c2ccccc2)C(CO)N1CC1CC1)C(=O)c1ccccc1
CCCOc1cc(C)c(Cl)cc1S(=O)(=O)N(CC)CC
O=C1CN(CC2CC2)Cc2c1sc(NCc1ccccc1)n2
Cc1cc2c(o1)c1c(c(=O)n(Cc3ccncc3)nc1)n2C
C=CCSc1c(C(=O)NCc2ccc(C)cc2)cccn1
CCN(c1c(C)c(C(=O)NCc2c(O)nc(C)cc2C(F)(F)F)c2ccoc2c1)C1CCOCC1
Cc1c(S(=O)(=O)c2nnc(O)cc2)oc2c1cc(F)cc2
O=C1C(=Cc2cccs2)SC(=S)N1c1ccccc1
CCCN1CC(C)C(OC)CN(C)C(=O)c2c(ccc(NC(=O)Nc3cccc(OC)c3)c2)OCC1C
N#CC(=Cc1ccc(-c2ccccc2)cc1)C(N)=O
CN(C)c1ccc(C(c2ccc(N(C)C)cc2)c2ccc([N+](=O)[O-])cc2)cc1
COc1c(Cl)cc2CCN(CC=Cc3ccc(N(C)C)cc3)CC(c3ccccc3)c2c1
CN1C(=N)C(C(=O)C=Cc2ccccc2)C(=O)NC1=O
O=C(Nc1ccc(Cl)cc1)NC1(C(=O)NCCCN2CCOCC2)CCCCC1
CC(NC(=O)CCc1ccc(-c2ccc(CCN3CCCC3C)cc2)cc1)C(=O)OC(C)(C)C
CCCCC(NC(=O)OC(C)(C)C)C(=O)C(=O)Nc1ccccc1
COc1ccc(NS(=O)(=O)c2ccccc2)cc1OC
Nc1c(C(=O)c2c(Cl)cccc2Cl)sc(Nc2cc(S)ccc2)n1
OC(CCCN1CCN(c2ncc(F)cn2)CC1)C1CCCCC1
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
COc1ccc(Cl)cc1NC(=O)C(C)NS(=O)(=O)c1ccc(Br)cc1
