COc1c(OC)cc(C(=O)C=CC#N)cc1
NC1=NC(=O)C(=Cc2ccc(-c3cc(C(F)(F)F)c(S(N)(=O)=O)cc3)o2)S1
Cc1nc2nc(C(=O)Nc3cccc4c3cccc4)nn2c(C(F)F)c1
Cn1c(=O)c2c(cccc2)n(CC(=O)NC2CCCC2)c1=O
NCCCCCCN(CCc1ccc(Cl)cc1Cl)CC(=O)N(CCc1ccc(Cl)cc1Cl)CC(N)=O
O=C(Nc1cccc(Cl)c1Cl)c1ccc(CN2CCc3c(cccc3)C2)cc1
Cc1ccc(N(CC(=O)NN=Cc2cc(Br)ccc2)S(C)(=O)=O)cc1
COc1ccc(C(=O)N=C2SSC3=NCCN32)cc1
CCc1nn(Cc2ccc(-c3nc4c(cc(F)c(Cl)c4)[nH]3)cc2)c(CC)c1CC(=O)O
OCC1C(c2ccccc2)C2(CN(CCC(F)(F)F)C2)N1Cc1cnccc1
CC(C)(O)CCCc1ccc2c(c1)CCn1c-2cc(OCC2COCCO2)nc1=O
NS(=O)(=O)Oc1ccc(NC(=O)Nc2cc(Cl)c(Cl)cc2)cc1
Cc1noc(C)c1CCC(=O)N1CCCC(N2CCN(c3ccc(F)cc3)CC2)C1
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1
Cc1ccc(C(=O)C2=C(O)C(=O)OC2c2ccc(Cl)cc2)cc1
NC(=O)N(O)C1CCCc2c1ccc(-c1ccccc1)c2
Cc1nc(C(F)(F)F)c(C(=O)NC(=O)Nc2ccccc2)s1
Cc1cc(F)ccc1NC(=O)C1CCC(CNS(=O)(=O)c2ccc3NC(=O)CCCc3c2)CC1
CC(C)CC1NC(C(=O)Nc2ccccc2)CCCCCC(C=CS(=O)(=O)c2ccccc2)NC1=O
Nc1nc2c(cccc2)n1CCC(=O)c1ccc(Cl)cc1
CCC(=O)Nc1c(OC)cc2ncnc(Nc3ccc4c(c3)ccn4S(=O)(=O)c3ccccc3)c2c1
